"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode","thrpt",4,5,"13,230217","2,631596","ops/s"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.alloc.rate","thrpt",4,5,"90,171775","33,524043","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.alloc.rate.norm","thrpt",4,5,"7886826,149784","1631070,435166","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Compressed_Class_Space","thrpt",4,5,"0,000015","0,000133","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Compressed_Class_Space.norm","thrpt",4,5,"1,577778","13,585142","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Metaspace","thrpt",4,5,"0,000051","0,000437","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Metaspace.norm","thrpt",4,5,"5,177778","44,582228","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Eden_Space","thrpt",4,5,"92,808162","16,071035","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Eden_Space.norm","thrpt",4,5,"8145076,555183","1757907,714048","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Old_Gen","thrpt",4,5,"0,766477","6,599601","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Old_Gen.norm","thrpt",4,5,"78112,933333","672575,913406","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Survivor_Space","thrpt",4,5,"1,000461","1,790937","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Survivor_Space.norm","thrpt",4,5,"90878,831057","201903,819563","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.count","thrpt",4,5,"7,800000","24,565780","counts"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.maximumCommittedAfterGc","thrpt",4,5,"509057433,600000","83739853,106492","bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.maximumUsedAfterGc","thrpt",4,5,"84969576,000000","4922675,061839","bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.time","thrpt",4,5,"72,600000","195,599825","ms"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.gcTimeMillis","thrpt",4,1,"2814,000000",NaN,"ms"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.heapUsed","thrpt",4,1,"2136688,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.heapUsed.after","thrpt",4,1,"2137056,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.total","thrpt",4,1,"346357760,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalCommitted","thrpt",4,1,"346357760,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalCommitted.after","thrpt",4,1,"346357760,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalUsed","thrpt",4,1,"13623936,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalUsed.after","thrpt",4,1,"13600536,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.used.after","thrpt",4,1,"13600536,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.used.settled","thrpt",4,1,"13623936,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.usedHeap","thrpt",4,1,"2243768,000000",NaN,"bytes"
