"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode","thrpt",4,5,"13,303112","1,162488","ops/s"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.alloc.rate","thrpt",4,5,"88,497972","35,137775","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.alloc.rate.norm","thrpt",4,5,"7695449,666915","689833,662672","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Compressed_Class_Space","thrpt",4,5,"0,000008","0,000066","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Compressed_Class_Space.norm","thrpt",4,5,"0,823188","7,087900","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Metaspace","thrpt",4,5,"0,000025","0,000217","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Metaspace.norm","thrpt",4,5,"2,701449","23,260293","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Eden_Space","thrpt",4,5,"89,515354","34,024418","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Eden_Space.norm","thrpt",4,5,"7792951,746915","1368710,941906","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Old_Gen","thrpt",4,5,"0,395712","3,407200","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Old_Gen.norm","thrpt",4,5,"42366,098551","364784,885348","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Survivor_Space","thrpt",4,5,"2,353708","4,302874","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Survivor_Space.norm","thrpt",4,5,"215942,823354","532753,019898","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.count","thrpt",4,5,"12,800000","25,455057","counts"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.maximumCommittedAfterGc","thrpt",4,5,"373489664,000000","0,000000","bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.maximumUsedAfterGc","thrpt",4,5,"65459480,000000","5495563,770395","bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.time","thrpt",4,5,"100,200000","169,721254","ms"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.gcTimeMillis","thrpt",4,1,"2791,000000",NaN,"ms"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.heapUsed","thrpt",4,1,"2082136,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.heapUsed.after","thrpt",4,1,"2076152,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.total","thrpt",4,1,"285605888,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalCommitted","thrpt",4,1,"285605888,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalCommitted.after","thrpt",4,1,"312868864,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalUsed","thrpt",4,1,"13590640,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalUsed.after","thrpt",4,1,"13590896,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.used.after","thrpt",4,1,"13590896,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.used.settled","thrpt",4,1,"13590640,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.usedHeap","thrpt",4,1,"2164904,000000",NaN,"bytes"
