"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode","thrpt",4,5,"12,734661","2,367357","ops/s"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.alloc.rate","thrpt",4,5,NaN,NaN,"MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Compressed_Class_Space","thrpt",4,5,"0,000007","0,000063","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Compressed_Class_Space.norm","thrpt",4,5,"0,766667","6,601231","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Metaspace","thrpt",4,5,"0,000026","0,000220","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.Metaspace.norm","thrpt",4,5,"2,677778","23,056474","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Eden_Space","thrpt",4,5,"90,949727","61,846602","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Eden_Space.norm","thrpt",4,5,"8285187,215560","5512583,019125","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Old_Gen","thrpt",4,5,"0,989485","8,519760","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Old_Gen.norm","thrpt",4,5,"103656,766667","892516,021951","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Survivor_Space","thrpt",4,5,"0,910595","2,815309","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.PS_Survivor_Space.norm","thrpt",4,5,"85987,929975","281611,255272","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.count","thrpt",4,5,"6,000000","23,892617","counts"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.maximumCommittedAfterGc","thrpt",4,5,"760545280,000000","0,000000","bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.maximumUsedAfterGc","thrpt",4,5,"113445163,200000","17107257,525023","bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.time","thrpt",4,5,"53,000000","188,524318","ms"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.gcTimeMillis","thrpt",4,1,"2837,000000",NaN,"ms"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.heapUsed","thrpt",4,1,"5385992,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.heapUsed.after","thrpt",4,1,"5452616,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.total","thrpt",4,1,"436273152,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalCommitted","thrpt",4,1,"436273152,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalCommitted.after","thrpt",4,1,"407437312,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalUsed","thrpt",4,1,"21594048,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalUsed.after","thrpt",4,1,"21627344,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.used.after","thrpt",4,1,"21627344,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.used.settled","thrpt",4,1,"21594048,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.usedHeap","thrpt",4,1,"5607976,000000",NaN,"bytes"
